FID,MC,CODE11,CODE01,STATE,DISTRICT,SUBDIST,EXT_MIN_X,EXT_MIN_Y,EXT_MAX_X,EXT_MAX_Y
37,9.12853204331E+017,2853204331000000,2801002700000000,Andhra Pradesh,Adilabad,Nennal,79.55006416,18.93434202,79.74202728,19.13009632
38,9.12853204325E+017,2853204325000000,2801002100000000,Andhra Pradesh,Adilabad,Neradigonda,78.33308316,19.17327495,78.60155384,19.38488583
39,9.12853204344E+017,2853204344000000,2801004000000000,Andhra Pradesh,Adilabad,Nirmal,78.2761791263,18.943177513,78.4610837,19.19549949
40,9.12853204327E+017,2853204327000000,2801002300000000,Andhra Pradesh,Adilabad,Rebbana,79.35194523,19.17379962,79.57489404,19.34448129
41,9.12853204336E+017,2853204336000000,2801003200000000,Andhra Pradesh,Adilabad,Sarangapur,78.18817215,19.1268688,78.39335046,19.3161163504
42,9.12853204326E+017,2853204326000000,2801002200000000,Andhra Pradesh,Adilabad,Sirpur,78.91855811,19.19882709,79.1379811,19.42145887
43,9.12853204315E+017,2853204315000000,2801001100000000,Andhra Pradesh,Adilabad,Sirpur (T),79.48594098,19.37678516,79.75840659,19.57789594
44,9.12853204309E+017,2853204309000000,2801000500000000,Andhra Pradesh,Adilabad,Talamadugu,78.2748128404,19.53615955,78.52241888,19.7098064696
45,9.12853204305E+017,2853204305000000,2801000100000000,Andhra Pradesh,Adilabad,Tamsi,78.29922056,19.62971548,78.52788736,19.91707747
46,9.12853204332E+017,2853204332000000,2801002800000000,Andhra Pradesh,Adilabad,Tandur,79.3683118,19.07630415,79.58640135,19.22053192
47,9.1285320434E+017,2853204340000000,2801003600000000,Andhra Pradesh,Adilabad,Tanoor,77.76173259,18.90807294,77.91694009,19.17105931
48,9.12853204333E+017,2853204333000000,2801002900000000,Andhra Pradesh,Adilabad,Tiryani,79.10643939,19.0569362186,79.37055638,19.30957346
49,9.12853204321E+017,2853204321000000,2801001700000000,Andhra Pradesh,Adilabad,Utnoor,78.58777435,19.24141661,78.92824594,19.51655617
50,9.1285320433E+017,2853204330000000,2801002600000000,Andhra Pradesh,Adilabad,Vemanpalle,79.70361109,18.9967714,79.93328739,19.1915117
51,9.12853204314E+017,2853204314000000,2801001000000000,Andhra Pradesh,Adilabad,Wankdi,79.21320826,19.37420624,79.463083,19.61492894
52,9.12855305354E+017,2855305354000000,2822005100000000,Andhra Pradesh,Anantapur,Agali,76.9751195176,13.740488434,77.1033800849,13.8916460614
53,9.12855305361E+017,2855305361000000,2822005800000000,Andhra Pradesh,Anantapur,Amadagur,77.9509051424,13.829347422,78.1529569339,14.09867813
54,9.12855305351E+017,2855305351000000,2822004800000000,Andhra Pradesh,Anantapur,Amarapuram,76.8896319318,13.9891244085,77.1015686624,14.1964791862
55,9.1285530533E+017,2855305330000000,2822002700000000,Andhra Pradesh,Anantapur,Anantapur,77.4443934845,14.5269771092,77.7556062325,14.7553022842
